index1,T,A,I,C,M,Y,Y_cf,Y_0,Y_1,Z,TO,YO,ps
904,0,-0.6664683540324563,-1.223811978084087,-2.3768253637502914,0.5224840951991564,-0.1094768837451583,3.20458654866496,1.065006489444766,1.127161937866659,0.8977473435830003,0.5756632395370846,0.5159491603351744,0.24184445973847213
18427,1,1.8112794757608184,13.732073211433455,4.199360635828207,0.9473682111638934,3.696100773136521,4.114837212836588,2.776164564043365,2.861086753146713,2.0052969641035143,0.9886452983331596,1.1515073774905684,0.6938656564184759
19179,1,-0.982095016802918,0.9887756919091838,0.0992929013375273,0.9966840736143128,2.647340128024404,0.3048234272038292,1.682973706473459,1.7508526763789642,1.9794672274842,1.1331083839527785,1.022457787556682,0.24184445973847213
19023,0,-0.9002342220565598,-7.966437336768766,-11.047489221818624,0.5648903443992229,1.5991536813129277,1.3423951760925592,1.226273605465849,1.2772791278600892,1.4071225711663529,0.4168001653123462,0.9619003721499249,0.24184445973847213
11008,1,1.064783183527604,4.995660779411802,0.3910776975112423,1.1745317536865292,4.036072454053678,1.824317298450568,2.676524085252819,2.705821263573565,1.9609609848557163,0.919303251549757,0.4460287788408816,0.6938656564184759
7484,1,-6.355143437229693,3.6061239352195766,6.661726347565825,0.9147841275421692,0.6048497734428795,2.3042332068810616,1.9103198472545335,2.008488898215925,1.9419896542472843,1.1707095465823152,0.9515861012808076,0.6938656564184759
12763,0,3.8436176436596408,-5.251719556544892,-1.1365961930359243,0.4299075987819316,2.515200506322949,1.7269199919599765,2.0654125237395182,2.1599922552796222,1.4624369089341571,0.5937107851258833,0.5146960013096457,0.24184445973847213
13352,0,0.1074608853346088,-2.8339379939585454,0.0087629111279973,0.4871614669839058,1.074602722471439,1.4976737750573608,1.9289846246586468,2.002092900352208,1.4776668961977273,0.4334573685439328,0.3364808244171826,0.24184445973847213
4946,1,-5.862945838369114,2.093324430441866,2.4716673024485223,0.9787444143929006,2.371982879529281,0.8913021326545937,1.786329995901736,1.8600152083360573,2.367124143936127,0.8889624267589677,-0.1743615273824399,0.6938656564184759
16635,0,-2.562844956981669,-5.867388244119942,9.425705076517602,0.5598438620401099,1.9025621537362032,3.9522231397603766,1.9789048684494452,2.0311322997949306,1.4364418952127074,0.3455312277341723,0.969755295397034,0.6938656564184759
13972,1,4.234925398779686,6.655503207901028,2.6443151298941725,0.9954563083387644,2.187357678699231,2.117104392595393,2.9058350493349407,2.9740977444177203,2.110109187598779,1.1153815614536398,-0.0675389655547551,0.6938656564184759
19344,1,-6.679606147266924,8.395737439571553,4.742626415490584,0.8912977700019199,2.700561941197784,0.8375617513725035,2.056813420686831,2.165605298856356,1.9100761380284044,0.81125886454943,-0.0040426555319604,0.6938656564184759
11753,1,-6.958746163515844,-9.590720795244778,2.4915436621947022,0.9963578381199836,1.6407902970051371,1.4115888027907202,2.0828134954840545,2.1507942349479983,1.860288722521036,0.8791832016437396,0.1704095158778504,0.6938656564184759
17099,1,-9.64673046222562,0.3549437543783104,-0.0608884787305881,0.9401125824848164,-0.7137588058284241,0.8865389906832206,1.3961876928225454,1.4839156028304423,1.0151596123345823,0.7626513894858963,0.3922604423551703,0.24184445973847213
4838,0,2.190509013462981,4.453707657368987,-1.0245472171055232,0.4017902172659346,2.847509581362772,1.7378748880066883,1.6988646843694646,1.8058744720506328,1.582499151690747,0.5126955166919508,0.5787619153228734,0.24184445973847213
11829,1,7.962543364730331,5.024890568293517,0.9343121301902636,0.8069051157028074,3.819001379029864,2.7679714201257872,2.813146630908507,2.968263340952048,1.9938072076638356,0.8504706623273375,0.7741169233593612,0.6545039908779932
16884,0,11.81926641983949,-3.7102340407957386,6.231993638253046,0.5115722888111018,1.8218131918155436,2.6296512418054703,2.8940469203975723,2.959414445245368,1.5170371667644855,0.5627506463392157,0.6708130188263285,0.6545039908779932
9729,1,6.682171882281517,6.410908657245434,-12.90863673089654,1.120445891755347,1.2767328836726175,3.5448009765490127,1.8589268735066649,1.896909509507964,2.0768242968177795,0.89647137467952,0.0584400133102291,0.2221105527638191
16380,1,-10.753853613641304,2.8693181636663407,5.807404209751748,0.9016557879932507,1.7411132295805136,1.7919526098219585,1.855986515930792,1.9599785188396357,2.1007412407494783,1.165645375912077,0.0647358267632597,0.6938656564184759
16512,0,-2.0098541816579854,4.875051091112811,11.719096334096,0.5016149147721456,2.3683473042962992,1.769797223898707,1.8864263007292077,1.9548565835826888,1.5841632769309786,0.5911984933078032,0.008573575314476,0.6938656564184759
12788,0,-4.487449817154431,-4.990968630308439,0.6560973978226556,0.5473108327617152,1.852783152854586,0.6034875628068816,1.9789771665897604,2.0343582284514725,1.5170087176371414,0.5253094258882521,0.8524439847576237,0.6938656564184759
10603,0,-2.2607645888203867,0.1409967703029333,-7.161372816685846,0.5505989871055051,2.2067696073389893,0.6922736695169502,0.9361882336592104,0.990725205506617,1.263239689875177,0.4019483555332588,0.8331025655293344,0.24184445973847213
14680,0,1.8809395629899364,-5.058875610756059,-2.024184432708477,0.7724757910706366,0.8572807256100852,1.8540692009985396,2.032319515212856,2.051124002347183,1.6596754932193405,0.5123768665508693,0.5131046213061063,0.24184445973847213
16176,1,-8.91125233106521,2.5481882992820903,-8.313772177456249,0.8399775092092584,0.1382644767666292,1.2531300672868408,0.9055812354871876,1.0409649164818933,1.6507223395521289,0.9597838922057278,0.5128074418742662,0.24184445973847213
